Size,Instance ID,Computing_time,Obj,Cmax,Delay
xl,27,0.9675819873809814,16648.0,1613.0,15035.0
xl,28,1.5586769580841064,30902.0,2144.0,28758.0
xl,29,1.3319568634033203,27843.0,2184.0,25659.0
xl,30,0.6349132061004639,14442.0,1520.0,12922.0
xl,31,1.1751668453216553,22552.0,1901.0,20651.0
xl,32,0.7742128372192383,13727.0,1472.0,12255.0
xl,33,1.5151691436767578,30745.0,2370.0,28375.0
xl,34,1.1706912517547607,23698.0,1976.0,21722.0
xl,35,1.494349718093872,36221.0,2430.0,33791.0
xl,36,1.3861770629882812,26460.0,2113.0,24347.0
xl,37,0.8853960037231445,16722.0,1740.0,14982.0
xl,38,0.9606378078460692,18726.0,1663.0,17063.0
xl,39,1.092543125152588,22387.0,1963.0,20424.0
xl,40,1.374356031417847,31016.0,2406.0,28610.0
xl,41,0.5991411209106445,12638.0,1402.0,11236.0
xl,42,1.0739257335662842,24346.0,1946.0,22400.0
xl,43,0.6961050033569336,13152.0,1500.0,11652.0
xl,44,0.7881097793579102,13042.0,1400.0,11642.0
xl,45,1.3548259735107422,24878.0,2091.0,22787.0
xl,46,1.0471470355987549,22404.0,1906.0,20498.0
xl,47,0.8902599811553955,15641.0,1574.0,14067.0
xl,48,1.484172821044922,32826.0,2265.0,30561.0
xl,49,1.3785498142242432,28575.0,2096.0,26479.0
xl,50,0.726226806640625,16509.0,1650.0,14859.0
